2016-11-02 09:02:59,726 [Worker-126] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 09:02:59,728 [Worker-126] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 09:02:59,729 [Worker-126] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 09:02:59,729 [Worker-126] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 09:03:05,442 [Worker-126] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 09:03:05,443 [Worker-126] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 09:03:05,444 [Worker-126] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 09:03:05,444 [Worker-126] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 09:03:58,707 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 09:03:58,708 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 09:03:58,710 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 09:03:58,710 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 09:09:39,754 [Worker-129] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 09:09:39,755 [Worker-129] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-02 09:09:39,756 [Worker-129] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-02 09:09:39,756 [Worker-129] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
